1: {'conv2d_0_m': 5.7901816, 'encoded_vector': 2.0963495, 'de_dense_final': 20.46396, 'conv2D_t_0': 31.058273, 'conv2d_t_final': 55.657585}
26: {'conv2d_0_m': 2.2745464, 'encoded_vector': -0.12746489, 'de_dense_final': 1.0997745, 'conv2D_t_0': 12.849598, 'conv2d_t_final': 10.274271}
27: {'conv2d_0_m': 0.8345106, 'encoded_vector': 0.24063803, 'de_dense_final': 7.1778903, 'conv2D_t_0': 17.31081, 'conv2d_t_final': 28.778843}
28: {'conv2d_0_m': 0.6109143, 'encoded_vector': 0.6104846, 'de_dense_final': 6.1052346, 'conv2D_t_0': 10.780347, 'conv2d_t_final': 5.844651}
29: {'conv2d_0_m': 6.82225, 'encoded_vector': -3.0866253, 'de_dense_final': -2.1448767, 'conv2D_t_0': 27.072208, 'conv2d_t_final': 38.372337}
30: {'conv2d_0_m': 5.8026423, 'encoded_vector': 3.2228258, 'de_dense_final': 19.779932, 'conv2D_t_0': 43.590908, 'conv2d_t_final': 52.096638}
31: {'conv2d_0_m': 3.387216, 'encoded_vector': 1.15679, 'de_dense_final': 22.289879, 'conv2D_t_0': 52.38406, 'conv2d_t_final': 48.54883}
32: {'conv2d_0_m': 0.25473014, 'encoded_vector': 0.29025522, 'de_dense_final': 11.545902, 'conv2D_t_0': 24.114323, 'conv2d_t_final': 14.205385}

---- BATCH SIZE 32 ----
32: {'conv2d_0_m': 69.090706, 'encoded_vector': 32.25822, 'de_dense_final': 439.9799, 'conv2D_t_0': 864.996, 'conv2d_t_final': 963.0991}
